"","BIRTH","COUNTRY","GENDER","ObsValue","RATE","TIME_FORMAT","Time"
"376","FB","AUT","TOT","72","P_RATE","P1Y","2001"
"377","FB","AUT","TOT","72.2","P_RATE","P1Y","2002"
"378","FB","AUT","TOT","73.8","P_RATE","P1Y","2003"
"379","FB","AUT","TOT","69.2","P_RATE","P1Y","2004"
"380","FB","AUT","TOT","69.7","P_RATE","P1Y","2005"
"381","FB","AUT","TOT","70.2","P_RATE","P1Y","2006"
"382","FB","AUT","TOT","71.5","P_RATE","P1Y","2007"
"383","FB","AUT","TOT","70.4","P_RATE","P1Y","2008"
"384","FB","AUT","TOT","71.5","P_RATE","P1Y","2009"
"385","FB","AUT","TOT","72.3","P_RATE","P1Y","2010"
"386","FB","AUT","TOT","72.6","P_RATE","P1Y","2011"
"387","FB","AUT","TOT","72","P_RATE","P1Y","2012"
"388","FB","AUT","TOT","72.3","P_RATE","P1Y","2013"
"389","FB","AUT","TOT","72.2","P_RATE","P1Y","2014"
"390","FB","AUT","TOT","72.4","P_RATE","P1Y","2015"
"391","FB","AUT","TOT","72.9","P_RATE","P1Y","2016"
"392","FB","AUT","TOT","73.4","P_RATE","P1Y","2017"
"393","FB","AUT","TOT","75.1","P_RATE","P1Y","2018"
"394","FB","AUT","TOT","75.1","P_RATE","P1Y","2019"
"395","FB","AUT","TOT","74.4","P_RATE","P1Y","2020"
"396","FB","AUT","TOT","76.2","P_RATE","P1Y","2021"
"397","FB","BEL","MEN","62.2","N_RATE","P1Y","2000"
"398","FB","BEL","MEN","61.3","N_RATE","P1Y","2001"
"399","FB","BEL","MEN","59.6","N_RATE","P1Y","2002"
"400","FB","BEL","MEN","57.2","N_RATE","P1Y","2003"
"401","FB","BEL","MEN","60.3","N_RATE","P1Y","2004"
"402","FB","BEL","MEN","61.2","N_RATE","P1Y","2005"
"403","FB","BEL","MEN","60.8","N_RATE","P1Y","2006"
"404","FB","BEL","MEN","60.9","N_RATE","P1Y","2007"
"405","FB","BEL","MEN","64.4","N_RATE","P1Y","2008"
"406","FB","BEL","MEN","61.4","N_RATE","P1Y","2009"
"407","FB","BEL","MEN","61.4","N_RATE","P1Y","2010"
"408","FB","BEL","MEN","61.3","N_RATE","P1Y","2011"
"409","FB","BEL","MEN","60","N_RATE","P1Y","2012"
"410","FB","BEL","MEN","60.5","N_RATE","P1Y","2013"
"411","FB","BEL","MEN","60.3","N_RATE","P1Y","2014"
"412","FB","BEL","MEN","60.5","N_RATE","P1Y","2015"
"413","FB","BEL","MEN","62.1","N_RATE","P1Y","2016"
"414","FB","BEL","MEN","65.5","N_RATE","P1Y","2017"
"415","FB","BEL","MEN","65.7","N_RATE","P1Y","2018"
"416","FB","BEL","MEN","66.2","N_RATE","P1Y","2019"
"417","FB","BEL","MEN","65.5","N_RATE","P1Y","2020"
"418","FB","BEL","MEN","68","N_RATE","P1Y","2021"
"419","FB","BEL","MEN","14.7","U_RATE","P1Y","2000"
"420","FB","BEL","MEN","13.7","U_RATE","P1Y","2001"
